seed,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms,attn_mean,attn_std,experiment,n_samples,noise_prob,layer_0_q_gate,layer_0_k_gate,layer_0_v_gate
2,transformed_conv,0.560643196105957,0.560643196105957,0.84375,0.84375,217.2862229999737,0.0625,0.05327144265174866,low_data,64,0.0,0.002717026509344578,-0.006181180011481047,-0.002225725445896387
3,transformed_conv,0.5674388408660889,0.5674388408660889,0.78125,0.859375,234.68481199961388,0.0625,0.06610559672117233,low_data,64,0.0,0.006309562362730503,-0.0067099398002028465,-0.0004617675731424242
4,transformed_conv,0.6282072067260742,0.6282072067260742,0.71875,0.734375,225.35955300008936,0.0625,0.05428275093436241,low_data,64,0.0,-0.0029517451766878366,-0.003664938732981682,0.0011092780623584986
0,standard,0.6842867732048035,0.6819314360618591,0.578125,0.6015625,160.26580600009765,0.0625,0.017407560721039772,low_data,128,0.0,,,
1,standard,0.6292555928230286,0.6292555928230286,0.71875,0.71875,165.67513100017095,0.0625,0.018210092559456825,low_data,128,0.0,,,
2,standard,0.6621320247650146,0.6612650156021118,0.578125,0.6171875,161.5495549995103,0.0624999962747097,0.015977760776877403,low_data,128,0.0,,,
3,standard,0.6066380739212036,0.6066380739212036,0.6875,0.6875,145.56323700162466,0.0624999962747097,0.018759895116090775,low_data,128,0.0,,,
4,standard,0.6591979265213013,0.6500943899154663,0.6328125,0.703125,153.25979299996106,0.0625,0.017356378957629204,low_data,128,0.0,,,
0,transformed_conv,0.653611421585083,0.653611421585083,0.609375,0.640625,386.76478799970937,0.0625,0.05477274954319,low_data,128,0.0,0.005807160399854183,0.005576338153332472,-0.006729258224368095
1,transformed_conv,0.6411688923835754,0.6411688923835754,0.6328125,0.671875,400.36636699915107,0.0625,0.05701257660984993,low_data,128,0.0,0.003150881500914693,0.002893528202548623,0.007898889482021332
2,transformed_conv,0.5974051356315613,0.5974051356315613,0.6875,0.6875,402.0766049998201,0.0624999962747097,0.054979853332042694,low_data,128,0.0,0.001092230319045484,-0.00390648702159524,-0.0019424044294282794
3,transformed_conv,0.6128972172737122,0.6128972172737122,0.7421875,0.7421875,446.2616019991401,0.0625,0.06343060731887817,low_data,128,0.0,0.008715009316802025,-0.008541537448763847,-0.007959287613630295
4,transformed_conv,0.6562052965164185,0.653308093547821,0.65625,0.6875,408.00522300014563,0.0625,0.053026169538497925,low_data,128,0.0,-0.006875805091112852,0.003204288426786661,-0.004910609684884548
0,standard,0.668372392654419,0.668372392654419,0.5625,0.5625,106.32320399963646,0.0625,0.017292123287916183,corruption,64,0.0,,,
1,standard,0.6288800239562988,0.625679612159729,0.65625,0.765625,113.92450800121878,0.0625,0.01815955340862274,corruption,64,0.0,,,
2,standard,0.6408944725990295,0.6408944725990295,0.59375,0.59375,109.09265100053744,0.0625,0.01653633452951908,corruption,64,0.0,,,
3,standard,0.5472111701965332,0.5472111701965332,0.8125,0.8125,99.38176899959217,0.0625,0.018704602494835854,corruption,64,0.0,,,
4,standard,0.6415329575538635,0.6415329575538635,0.6875,0.6875,113.17019099988102,0.0624999925494194,0.017603298649191856,corruption,64,0.0,,,
0,transformed_conv,0.6004559993743896,0.5931118130683899,0.796875,0.796875,283.8892109994049,0.0625,0.058886658400297165,corruption,64,0.0,0.003833356313407421,-0.0015041178558021784,-0.007943854667246342
1,transformed_conv,0.5949877500534058,0.5949877500534058,0.75,0.75,251.5960870005074,0.0625,0.05740141496062279,corruption,64,0.0,0.002955008065328002,-0.004694976378232241,-0.0008813784806989133
2,transformed_conv,0.560643196105957,0.560643196105957,0.84375,0.84375,254.55880299887212,0.0625,0.05327144265174866,corruption,64,0.0,0.002717026509344578,-0.006181180011481047,-0.002225725445896387
