experiment,variant,seed,n_samples,corruption,final_loss,best_token_accuracy,elapsed_ms
corruption,standard_decoder_only,1,64,0.2,15.313016891479492,0.03229166567325592,97.7644220001821
corruption,standard_decoder_only,2,64,0.2,15.39176082611084,0.046875,93.3185970006889
corruption,standard_decoder_only,3,64,0.2,18.90837287902832,0.04062499850988388,96.80933500021638
corruption,standard_decoder_only,4,64,0.2,17.095796585083008,0.03020833246409893,93.34583600139013
corruption,transformed_conv_decoder_only,0,64,0.2,14.242517471313477,0.03958333283662796,231.46193600041443
corruption,transformed_conv_decoder_only,1,64,0.2,13.25610637664795,0.04374999925494194,235.81916500006628
corruption,transformed_conv_decoder_only,2,64,0.2,12.418832778930664,0.0364583320915699,232.9515450001054
corruption,transformed_conv_decoder_only,3,64,0.2,14.998919486999512,0.03229166567325592,228.92908100038767
corruption,transformed_conv_decoder_only,4,64,0.2,13.826457023620605,0.03854166716337204,202.13061800131982
corruption,standard_decoder_only,0,64,0.3,17.788606643676758,0.02708333358168602,96.33672199925059
corruption,standard_decoder_only,1,64,0.3,15.285523414611816,0.03437500074505806,97.12180499991518
corruption,standard_decoder_only,2,64,0.3,15.454174041748047,0.0416666679084301,100.00924800078792
corruption,standard_decoder_only,3,64,0.3,19.19614601135254,0.03333333507180214,101.35974099830491
corruption,standard_decoder_only,4,64,0.3,17.018367767333984,0.03437500074505806,89.62242699999479
corruption,transformed_conv_decoder_only,0,64,0.3,14.140944480895996,0.04270833358168602,234.11332199975732
corruption,transformed_conv_decoder_only,1,64,0.3,13.204538345336914,0.04583333432674408,215.60331199907523
corruption,transformed_conv_decoder_only,2,64,0.3,12.49791145324707,0.03437500074505806,250.59138300093764
corruption,transformed_conv_decoder_only,3,64,0.3,14.987411499023438,0.03333333507180214,253.52528800067375
corruption,transformed_conv_decoder_only,4,64,0.3,14.045196533203125,0.02916666679084301,241.91082300058042
